"Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1155/2014/870271","Acupuncture for Treating Whiplash Associated Disorder: A Systematic Review of Randomised Clinical Trials","SI 2, SI 3, SI 5, SI 7, LI 11, SI 15, SI 14, BL 10, BL 12, BL 13, BL 14, BL 60, BL 62, BL 66, GB 20, GB 21, GB 40, GB 41, TE 15, TE 5, GV 14, GB 20, SI 11, BL 17, SP 10, SI 3, BL 64, Ear Zero point, Ear Jerome point, Ear C0, GB 39, LI 14, SI 6, TB 5, Myofascial trigger points","SI 2, SI 3, SI 5, SI 7, LI 11, SI 15, SI 14, BL 10, BL 12, BL 13, BL 14, BL 60, BL 62, BL 66, GB 20, GB 21, GB 40, GB 41, TE 15, TE 5, GV 14, GB 20, SI 11, BL 17, SP 10, SI 3, BL 64, Ear Zero point, Ear Jerome point, Ear C0, GB 39, LI 14, SI 6, TB 5, Myofascial trigger points","SI 2, SI 3, SI 5, SI 7, LI 11, SI 15, SI 14, BL 10, BL 12, BL 13, BL 14, BL 60, BL 62, BL 66, GB 20, GB 21, GB 40, GB 41, TE 15, TE 5, GV 14, GB 20, SI 11, BL 17, SP 10, SI 3, BL 64, GB 39, LI 14, SI 6, TE 5","Ear Zero point, Ear Jerome point, Ear C0, Myofascial trigger points","TARA:2777371, TARA:0220496, TARA:0669306, TARA:1051162, TARA:8923096, TARA:2976260, TARA:3226024, TARA:0242146, TARA:5468609, TARA:6050541, TARA:9523348, TARA:5047947, TARA:1628341, TARA:7734076, TARA:2324295, TARA:5389461, TARA:9254368, TARA:3668538, TARA:5828993, TARA:8393005, TARA:8452754, TARA:2324295, TARA:4122792, TARA:1124682, TARA:8433932, TARA:0220496, TARA:0471803, TARA:3770332, TARA:3744150, TARA:4125415, TARA:8393005","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1155/2012/679845","Acupuncture for Treatment of Autism Spectrum Disorders","sishenzhen, niesanzhen, naosanzhen, touzhizhen, shesanzhen, shousanzhen, shouzhizhen, zusanzhen, zuzhizhen, Baihui, naomeng, yintang, shenting","sishenzhen, niesanzhen, naosanzhen, touzhizhen, shesanzhen, shousanzhen, shouzhizhen, zusanzhen, zuzhizhen, Baihui, naomeng, yintang, shenting","GV 20, Yintang, GV 24","sishenzhen, niesanzhen, naosanzhen, touzhizhen, shesanzhen, shousanzhen, shouzhizhen, zusanzhen, zuzhizhen, naomeng","TARA:3386254, TARA:3135569, TARA:7679931","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/HTR.0b013e3182051397","Acupuncture for Treatment of Insomnia in Patients With Traumatic Brain Injury: A Pilot Intervention Study","Kidney 3, Heart 3, Bladder 60, Liver 3, Large intestine 4, Master of the Heart 7, Governor Vessel 20, Tranquilizer, Shen Men, Spleen 6, Stomach 43, Heart 7, Liver 2, Kidney 10, GB 20, CV 23, sympathetic","Kidney 3, Heart 3, Bladder 60, Liver 3, Large intestine 4, Master of the Heart 7, Governor Vessel 20, Tranquilizer, Shen Men, Spleen 6, Stomach 43, Heart 7, Liver 2, Kidney 10, GB 20, CV 23, sympathetic","KI 3, HT 3, BL 60, LR 3, LI 4, GV 20, HT 7, SP 6, ST 43, HT 7, LR 2, KI 10, GB 20, CV 23","Master of the Heart 7, Tranquilizer, sympathetic","TARA:4362146, TARA:2385378, TARA:5047947, TARA:6499349, TARA:0859695, TARA:3386254, TARA:2442762, TARA:4385250, TARA:7661549, TARA:2442762, TARA:6862058, TARA:8716769, TARA:2324295, TARA:5804897","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD005111.pub3","Acupuncture for treatment of irritable bowel syndrome","ST 25, BL 25, HT 7, PC 6, LR 3, SP 6, ST 37, GV 20, GV 1, BL 57, CV 12, ST 36, SP 9, SJ 6","ST 25, BL 25, HT 7, PC 6, LR 3, SP 6, ST 37, GV 20, GV 1, BL 57, CV 12, ST 36, SP 9, SJ 6","ST 25, BL 25, HT 7, PC 6, LR 3, SP 6, ST 37, GV 20, GV 1, BL 57, CV 12, ST 36, SP 9, TE 6","","TARA:5717468, TARA:0906448, TARA:2442762, TARA:4311153, TARA:6499349, TARA:4385250, TARA:5918799, TARA:3386254, TARA:3865403, TARA:4589241, TARA:0434959, TARA:6463344, TARA:3553465, TARA:7510801","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/AJP.0b013e31815ec20f","Acupuncture for Treatment of Persistent Arm Pain Due to Repetitive Use A Randomized Controlled Clinical Trial","Liver 3, Large Intestine 4, LI 5, P5, P6, P7, TW5","Liver 3, Large Intestine 4, LI 5, P5, P6, P7, TW5","LR 3, LI 4, LI 5, PC 5, PC 6, PC 7, TE 5","","TARA:6499349, TARA:0859695, TARA:5677319, TARA:6477399, TARA:4311153, TARA:9020892, TARA:8393005","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010463","Acupuncture for treatment of secondary osteoporosis in patients with spinal cord injury: a controlled study","GV 14, GV 4, BL 11, BL 23, BL 20, BL 21, ST 36, SP 6, KI 3, GB 34, CV 8","GV 14, GV 4, BL 11, BL 23, BL 20, BL 21, ST 36, SP 6, KI 3, GB 34, CV 8","GV 14, GV 4, BL 11, BL 23, BL 20, BL 21, ST 36, SP 6, KI 3, GB 34, CV 8","","TARA:8452754, TARA:8557069, TARA:1985889, TARA:0992296, TARA:3283628, TARA:4839095, TARA:6463344, TARA:4385250, TARA:4362146, TARA:8758950, TARA:9392275","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.apmr.2005.07.287","Acupuncture for Upper-Extremity Rehabilitation in Chronic Stroke: A Randomized Sham-Controlled Study","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16562383.0/","Acupuncture for Urinary Urgency In Women Over 50: What Is the Evidence?","SP 6","SP 6","SP 6","","TARA:4385250","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD007221.pub2","Acupuncture for uterine fibroids (Review)","EX-CA 1","EX-CA 1","Zigongxue","","TARA:4254258","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/14651858.CD004987.pub2","Acupuncture for vascular dementia","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2013-010363","Acupuncture for vascular mild cognitive impairment: a systematic review of randomised controlled trials","PC 6, GV 20, GB 20","PC 6, GV 20, GB 20","PC 6, GV 20, GB 20","","TARA:4311153, TARA:3386254, TARA:2324295","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/0740-5472(93)90019-x","Acupuncture Heroin Detoxification: A Single-Blind Clinical Trial","sympathetic, shenmen, kidney, lung","sympathetic, ear shenmen, kidney, lung","","sympathetic, ear shenmen, kidney, lung","","","add ""ear""","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/hrt.2009.187930","Acupuncture improves exercise tolerance of patients with heart failure: a placebo-controlled pilot study","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1007/s00520-011-1134-8","Acupuncture improves health-related quality-of-life (HRQoL) and sleep in women with breast cancer and hot flushes","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.4103/0366-6999.200549","Acupuncture Improves Intestinal Absorption of Iron in Iron-deficient Obese Patients: A Randomized Controlled Preliminary Trial","CV 12, CV 4, ST 27, SP 14, TE 6, SI 3, ST 40, KI 2, SP 3, GB 41","CV 12, CV 4, ST 27, SP 14, TE 6, SI 3, ST 40, KI 2, SP 3, GB 41","CV 12, CV 4, ST 27, SP 14, TE 6, SI 3, ST 40, KI 2, SP 3, GB 41","","TARA:0434959, TARA:9921528, TARA:1452771, TARA:1992799, TARA:7510801, TARA:0220496, TARA:9531666, TARA:3114756, TARA:3003448, TARA:3668538","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.3109/13697137.2012.698432","Acupuncture improves sleep in postmenopause in a randomized, double-blind, placebo-controlled study","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1093/alcalc/34.4.629","Acupuncture in Alcoholism Treatment: A Randomized Out-Patient Study","Sympathetic, Shen Men, Lung","Sympathetic, Shen Men, Lung","HT 7","Sympathetic, Lung","TARA:2442762","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.3727/036012995816357113","Acupuncture in Angina Pectoris: Do Psycho-Social and Neurophysiological Factors Relate to the Effect?","LI 4","LI 4","LI 4","","TARA:0859695","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.ctim.2011.07.002","Acupuncture in children and adolescents with bronchial asthma: A randomised controlled study ଝ","BL 13, CV 17, LU 7, ST 40, KI 6, LI 11, ST 41, BL 42","BL 13, CV 17, LU 7, ST 40, KI 6, LI 11, ST 41, BL 42","BL 13, CV 17, LU 7, ST 40, KI 6, LI 11, ST 41, BL 42","","TARA:6050541, TARA:3472408, TARA:3515622, TARA:9531666, TARA:2108622, TARA:8923096, TARA:6019290, TARA:1068174","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1093/rheumatology/41.2.205","Acupuncture in chronic epicondylitis: a randomized controlled trial","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1093/ndt/gfh955","Acupuncture in haemodialysis patients at the Quchi (LI11) acupoint for refractory uraemic pruritus","LI 11","LI 11","LI 11","","TARA:8923096","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/00002508-200012000-00010","Acupuncture in Headache: A Critical Review","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1053/seiz.2000.0436","Acupuncture in intractable epilepsy: lack of effect on health-related quality of life","LR 3, LI 4, GV 20, S 1, S 2, S 3","LR 3, LI 4, GV 20, S 1, S 2, S 3","LR 3, LI 4, GV 20, ST 1, ST 2, ST 3","","TARA:6499349, TARA:0859695, TARA:3386254, TARA:4157768, TARA:6392753, TARA:5884251","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/AJP.0b013e3181590d66","Acupuncture in Migraine Prevention A Randomized Sham Controlled Study With 6-months Posttreatment Follow-up","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1468-2982.2006.01062.x","Acupuncture in migraine prophylaxis: a randomized sham-controlled trial","GB 12, GB 20, GB 21, BL 10, BL 60, SI 3, BL 2, ST 36, DU 23, LI 4, SJ 5, GB 34, GB 8, DU 20, LR 3, PC 6, EX-B1, SJ 17, SJ 20, SP 7, ST 37, LU 5","GB 12, GB 20, GB 21, BL 10, BL 60, SI 3, BL 2, ST 36, DU 23, LI 4, SJ 5, GB 34, GB 8, DU 20, LR 3, PC 6, EX-B1, SJ 17, SJ 20, SP 7, ST 37, LU 5","GB 12, GB 20, GB 21, BL 10, BL 60, SI 3, BL 2, ST 36, GV 23, LI 4, TE 5, GB 34, GB 8, GV 20, LR 3, PC 6, Dingchuan, TE 17, TE 20, SP 7, ST 37, LU 5","","TARA:1031890, TARA:2324295, TARA:5389461, TARA:0242146, TARA:5047947, TARA:0220496, TARA:8104948, TARA:6463344, TARA:7690229, TARA:0859695, TARA:8393005, TARA:8758950, TARA:5363236, TARA:3386254, TARA:6499349, TARA:4311153, TARA:8009041, TARA:6615149, TARA:8854888, TARA:8036487, TARA:5918799, TARA:1357729","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X11008920","Acupuncture in Obstetrics and Gynecology: An Overview of Systematic Reviews","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1089/acm.2012.0719","Acupuncture in Patients Suffering from Allergic Asthma: Is It Worth Additional Costs?","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.pain.2012.05.033","Acupuncture in patients with acute low back pain: A multicentre randomised controlled clinical trial","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/S1081-1206(10)60294-3","Acupuncture in patients with allergic rhinitis: a pragmatic randomized trial","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/AJP.0b013e318190511c","Acupuncture in Patients With Carpal Tunnel Syndrome A Randomized Controlled Trial","PC 6, PC 7","PC 6, PC 7","PC 6, PC 7","","TARA:4311153, TARA:9020892","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1001/archinte.166.4.450","Acupuncture in Patients With Chronic Low Back Pain A Randomized Controlled Trial","BL 20, BL 21, BL 22, BL 23, BL 24, BL 25, BL 26, BL 27, BL 28, BL 29, BL 30, BL 31, BL 32, BL 33, BL 34, BL 50, BL 51, BL 52, BL 53, BL 54, GB 30, GV 3, GV 4, GV 5, GV 6, Huatojiaji, Shiqizhuixia, SI 3, BL 40, BL 60, BL 62, KI 3, KI 7, GB 31, GB 34, GB 41, LR 3, GV 14, GV 20","BL 21, BL 21, BL 22, BL 23, BL 24, BL 25, BL 26, BL 27, BL 28, BL 29, BL 30, BL 31, BL 32, BL 33, BL 34, BL 50, BL 51, BL 52, BL 53, BL 54, GB 30, GV 3, GV 4, GV 5, GV 6, SI 3, BL 40, BL 60, BL 62, KI 3, KI 7, GB 31, GB 34, GB 41, LR 3, GV 14, GV 20, Huatuojiaji, Shiqizhui","BL 21, BL 21, BL 22, BL 23, BL 24, BL 25, BL 26, BL 27, BL 28, BL 29, BL 30, BL 31, BL 32, BL 33, BL 34, BL 50, BL 51, BL 52, BL 53, BL 54, GB 30, GV 3, GV 4, GV 5, GV 6, SI 3, BL 40, BL 60, BL 62, KI 3, KI 7, GB 31, GB 34, GB 41, LR 3, GV 14, GV 20, Huatuojiaji, Shiqizhui","","TARA:4839095, TARA:4839095, TARA:3963382, TARA:0992296, TARA:7357260, TARA:0906448, TARA:4384020, TARA:6929444, TARA:5318530, TARA:3079460, TARA:9128934, TARA:2465151, TARA:6742407, TARA:6927551, TARA:1522109, TARA:1208891, TARA:4667633, TARA:7228895, TARA:8423766, TARA:0488267, TARA:9378285, TARA:8807122, TARA:8557069, TARA:1697302, TARA:5902217, TARA:0220496, TARA:5290080, TARA:5047947, TARA:1628341, TARA:4362146, TARA:9881298, TARA:5264783, TARA:8758950, TARA:3668538, TARA:6499349, TARA:8452754, TARA:3386254, TARA:3734471, TARA:9907701","","done, misspelled","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1468-2982.2008.01640.x","Acupuncture in patients with headache","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1002/art.22154","Acupuncture in Patients With Osteoarthritis of the Knee or Hip A Randomized, Controlled Trial With an Additional Nonrandomized Arm","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/S0140-6736(05)66871-7","Acupuncture in patients with osteoarthritis of the knee: a randomised trial","ST 34, ST 35, ST 36, SP 9, SP 10, BL 40, KI 10, GB 33, GB 34, LR 8, Heding, Xiyan, SP 4, SP 5, SP 6, ST 6, BL 20, BL 57, BL 58, BL 60, BL 62, KI 3","ST 34, ST 35, ST 36, SP 9, SP 10, BL 40, KI 10, GB 33, GB 34, LR 8, Heding, Xiyan, SP 4, SP 5, SP 6, ST 6, BL 20, BL 57, BL 58, BL 60, BL 62, KI 3","ST 34, ST 35, ST 36, SP 9, SP 10, BL 40, KI 10, GB 33, GB 34, LR 8, Heding, Xiyan, SP 4, SP 5, SP 6, ST 6, BL 20, BL 57, BL 58, BL 60, BL 62, KI 3","","TARA:8773594, TARA:2454652, TARA:6463344, TARA:3553465, TARA:8433932, TARA:5290080, TARA:8716769, TARA:3201959, TARA:8758950, TARA:1074531, TARA:3748376, TARA:0926802, TARA:7407065, TARA:7831710, TARA:4385250, TARA:7834226, TARA:3283628, TARA:4589241, TARA:5362994, TARA:5047947, TARA:1628341, TARA:4362146","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.7326/0003-4819-158-4-201302190-00002","Acupuncture in Patients With Seasonal Allergic Rhinitis","LI 4, LI 11, LI 20, EX-HN 3, EX-HN 8, GB 20, LR 3, LU 7, ST 36, SP 6, SJ 17, BL 13","LI 4, LI 11, LI 20, EX-HN 3, EX-HN 8, GB 20, LR 3, LU 7, ST 36, SP 6, SJ 17, BL 13","LI 4, LI 11, LI 20, Yintang, GB 20, LR 3, LU 7, ST 36, SP 6, TE 17, BL 13","EX-HN 8","TARA:0859695, TARA:8923096, TARA:6681003, TARA:3135569, TARA:2324295, TARA:6499349, TARA:3515622, TARA:6463344, TARA:4385250, TARA:6615149, TARA:6050541","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/bmj.38512.405440.8F","Acupuncture in patients with tension-type headache: randomised controlled trial","GB 20, GB 21, LIV 3, LI 4, DU 23, Yintang, Taiyang, ST 44, GB 2, DU 20, Si Shen Cong, BL 10, BL 60, BL 62, DU 14, DU 19, SI 3, SI 6, Taiyang, SP 6, SP 9, ST 36, ST 40, REN 12, LI 4, DU 14, GB 3, SJ 6, GB 39, LI 4, LU 7, SJ 5, DU 14, GB 34","GB 20, GB 21, LIV 3, LI 4, DU 23, Yintang, Taiyang, ST 44, GB 2, DU 20, Si Shen Cong, BL 10, BL 60, BL 62, DU 14, DU 19, SI 3, SI 6, Taiyang, SP 6, SP 9, ST 36, ST 40, REN 12, LI 4, DU 14, GB 3, SJ 6, GB 39, LI 4, LU 7, SJ 5, DU 14, GB 34","GB 20, GB 21, LR 3, LI 4, GV 23, Yintang, Taiyang, ST 44, GB 2, GV 20, Sishencong, BL 10, BL 60, BL 62, GV 14, GV 19, SI 3, SI 6, Taiyang, SP 6, SP 9, ST 36, ST 40, CV 12, LI 4, GV 14, GB 3, TE 6, GB 39, LI 4, LU 7, TE 5, GV 14, GB 34","","TARA:2324295, TARA:5389461, TARA:6499349, TARA:0859695, TARA:7690229, TARA:3135569, TARA:9534465, TARA:8440155, TARA:2849795, TARA:3386254, TARA:9610280, TARA:0242146, TARA:5047947, TARA:1628341, TARA:8452754, TARA:5455543, TARA:0220496, TARA:4125415, TARA:9534465, TARA:4385250, TARA:3553465, TARA:6463344, TARA:9531666, TARA:0434959, TARA:0859695, TARA:8452754, TARA:9191188, TARA:7510801, TARA:3770332, TARA:0859695, TARA:3515622, TARA:8393005, TARA:8452754, TARA:8758950","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1365-2826.2007.01634.x","Acupuncture in Polycystic Ovary Syndrome: Current Experimental and Clinical Evidence","Abdomen, hind limb","Abdomen, hind limb","","Abdomen, hind limb","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.3109/14767058.2013.845158","Acupuncture in post-date pregnancy: a pilot study","LI 4, SP 6, ST 36, GB 34, LR 3, PC 6, HT 7","LI 4, SP 6, ST 36, GB 34, LR 3, PC 6, HT 7","LI 4, SP 6, ST 36, GB 34, LR 3, PC 6, HT 7","","TARA:0859695, TARA:4385250, TARA:6463344, TARA:8758950, TARA:6499349, TARA:4311153, TARA:2442762","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jams.2013.04.005","Acupuncture in Preventing Postoperative Nausea and Vomiting: Efficacy of Two Acupuncture Points Versus a Single One","PC 6, LI 4","PC 6, LI 4","PC 6, LI 4","","TARA:4311153, TARA:0859695","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.0954-6820.1986.tb02770.x","Acupuncture in Severe, Stable Angina Pectoris: a Randomized Trial","P 6, ST 36, UB 14","P 6, ST 36, UB 14","PC 6, ST 36, BL 14","","TARA:4311153, TARA:6463344, TARA:9523348","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/S0965-2299(96)80087-2","Acupuncture in stroke recovery: a literature review","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.2522/ptj.20110138","Acupuncture in Subacute Stroke: No Benefits Detected","HT 1, PC 6, LI 4, EX-UE 9, ST 31, ST 32, SP 9, SP 6, ST 36, LV 3, MS 6, MS 7, ST 4, ST 6, ST 7, SI 18, GV 15, GB 20, EX-HN 12, EX-HN 13, CV 23, HT 5","HT 1, PC 6, LI 4, EX-UE 9, ST 31, ST 32, SP 9, SP 6, ST 36, LV 3, MS 6, MS 7, ST 4, ST 6, ST 7, SI 18, GV 15, GB 20, EX-HN 12, EX-HN 13, CV 23, HT 5","HT 1, PC 6, LI 4, Baxie, ST 31, ST 32, SP 9, SP 6, ST 36, LR 3, ST 4, ST 6, ST 7, SI 18, GV 15, GB 20, Jinjing, Yuye, CV 23, HT 5","MS 6, MS 7","TARA:0420802, TARA:4311153, TARA:0859695, TARA:2491709, TARA:9294655, TARA:8826565, TARA:3553465, TARA:4385250, TARA:6463344, TARA:6499349, TARA:1429314, TARA:7834226, TARA:2990862, TARA:0287877, TARA:4427404, TARA:2324295, TARA:3641900, TARA:7471145, TARA:5804897, TARA:1282828","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1159/000315042","Acupuncture in Tension-Type Headache","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1155/2012/309762","Acupuncture in the Inpatient Acute Care Setting: A Pragmatic, Randomized Control Trial","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/00002508-200311000-00004","Acupuncture in the Management of Chronic Low Back Pain: A Blinded Randomized Controlled Trial","Bl 23, Bl 25, GB 30, Bl 40, Ki 3, GV 4","Bl 23, Bl 25, GB 30, Bl 40, Ki 3, GV 4","BL 23, BL 25, GB 30, BL 40, KI 3, GV 4","","TARA:0992296, TARA:0906448, TARA:9378285, TARA:5290080, TARA:4362146, TARA:8557069","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1034/j.1600-0412.2002.811008.x","Acupuncture in the management of pain in labor","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/aim.14.1.2","Acupuncture in the Management of Postoperative Nausea and Vomiting in Patients Receiving Morphine via a Patient  Controlled Analgesia","PC 6","PC 6","PC 6","","TARA:4311153","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.3109/00206099409071892","Acupuncture in the Management of Tinnitus: A Placebo-Controlled Study","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/j.1365-2044.1997.143-az0147.x","Acupuncture in the prevention of postoperative nausea and vomiting","P 6","P 6","PC 6","","TARA:4311153","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1046/j.1526-4610.2002.02203.x","Acupuncture in the Prophylactic Treatment of Migraine Without Aura: A Comparison with Flunarizine","LR 3, SP 6, ST 36, CV 12, LI 4, PC 6, GB 20, GB 14, EX-HN 5, GV 20","LR 3, SP 6, ST 36, CV 12, LI 4, PC 6, GB 20, GB 14, EX-HN 5, GV 20","LR 3, SP 6, ST 36, CV 12, LI 4, PC 6, GB 20, GB 14, Taiyang, GV 20","","TARA:6499349, TARA:4385250, TARA:6463344, TARA:0434959, TARA:0859695, TARA:4311153, TARA:2324295, TARA:9987270, TARA:9534465, TARA:3386254","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1080/028134398750003386","Acupuncture in the prophylaxis of recurrent lower urinary tract infection in adult women","REN 3, UB 23, UB 28, KI 3, SP 6, SP 9, LIV 2, LIV 3","REN 3, UB 23, UB 28, KI 3, SP 6, SP 9, LIV 2, LIV 3","CV 3, BL 23, BL 28, KI 3, SP 6, SP 9, LR 2, LR 3","","TARA:0022762, TARA:0992296, TARA:5318530, TARA:4362146, TARA:4385250, TARA:3553465, TARA:6862058, TARA:6499349","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1080/1355621021000006017","Acupuncture in the treatment of alcohol withdrawal symptoms: a randomized, placebo-controlled inpatient study","Sympathetic, Shenmen, Kidney, Liver, Lung, GV 20, Extra 1, LI 4","Sympathetic, Ear Shenmen, Kidney, Liver, Lung, GV 20, Yintang, LI 4","GV 20, Yintang, LI 4","Sympathetic, Ear Shenmen, Kidney, Liver, Lung","TARA:3386254, TARA:3135569, TARA:0859695","","added ""ear""; fixed extra 1","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1177/1534735413520181","Acupuncture in the Treatment of Cancer-Related Psychological Symptoms","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1089/acm.2009.0062","Acupuncture in the Treatment of Diabetic Bladder Dysfunction","BL 23, BL 24, BL 32, BL 39, BL 54","BL 23, BL 24, BL 32, BL 39, BL 54","BL 23, BL 24, BL 32, BL 39, BL 54","","TARA:0992296, TARA:7357260, TARA:6742407, TARA:2186848, TARA:0488267","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1530/acta.0.1240143","Acupuncture in the treatment of Graves' ophthalmopathy. A blinded randomized study","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"uri not found","Acupuncture in the Treatment of Hypertension: A Literature Review","Quchi LI  11, Hegu LI  4, Zusanli ST  36, Dachangshu BL  25, Taibai SP  3, Taiyuan LU  9, Feishu BL  13, Fuliu KID  7, Dahe KID  12, Guanyuan REN  4, Shangyang LI  1, Dazhui DU  14, Fengchi GB  20, Taichong LIV  3, Sanyinjiao SP  6","Quchi LI  11, Hegu LI  4, Zusanli ST  36, Dachangshu BL  25, Taibai SP  3, Taiyuan LU  9, Feishu BL  13, Fuliu KID  7, Dahe KID  12, Guanyuan REN  4, Shangyang LI  1, Dazhui DU  14, Fengchi GB  20, Taichong LIV  3, Sanyinjiao SP  6","","Quchi LI 11, Hegu LI 4, Zusanli ST 36, Dachangshu BL 25, Taibai SP 3, Taiyuan LU 9, Feishu BL 13, Fuliu KID 7, Dahe KID 12, Guanyuan REN 4, Shangyang LI 1, Dazhui DU 14, Fengchi GB 20, Taichong LIV 3, Sanyinjiao SP 6","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/AJP.0b013e3181e2697e","Acupuncture in the Treatment of Pain in Temporomandibular Disorders: A Systematic Review and Meta-analysis of Randomized Controlled Trials","ST 6, ST 7, GB 20, EX 2, LI 4, SI 2, SI 3, ST 36","","","","","","its a review. remove points","","","","","","","","","","","","","","","","","","",""
"uri not found","Acupuncture In The Treatment Of Patients With Chronic Obstructive Bronchitis: A Randomized Controlled Trial","Not specified (the paper does not provide a detailed list of acupoints used in the study)","Not specified (the paper does not provide a detailed list of acupoints used in the study)","","","","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/10427802.0/","Acupuncture in the treatment of posttraumatic pain syndrome","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1038/sj.ijir.3901021","Acupuncture in the treatment of psychogenic erectile dysfunction: first results of a prospective randomized placebo-controlled study","N 6, N 27, KG 4, KG 6, LG 4, MP 6, B 23, G 39, M 41, M 25","N 6, N 27, KG 4, KG 6, LG 4, MP 6, B 23, G 39, M 41, M 25","BL 23, GB 39","N 6, N 27, KG 4, KG 6, LG 4, MP 6, M 41, M 25","TARA:0992296, TARA:3770332","","","","","","","","","","","","","","","","","","","","",""
